"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"TP57","TP","4550mil","2684mil","4550mil","2684mil","4550mil","2684mil","T","0.00","TP"
"TP58","TP","347mil","2491mil","346.999mil","2491mil","347mil","2491mil","T","0.00","TP"
"TP59","TP","2596mil","1368mil","2596mil","1368mil","2596mil","1368mil","T","0.00","TP"
"TP60","TP","253mil","577mil","253mil","577mil","253mil","577mil","T","0.00","TP"
"TP61","TP","2643mil","2479mil","2643mil","2479mil","2643mil","2479mil","T","0.00","TP"
"TP62","TP","2719mil","2124mil","2719mil","2124mil","2719mil","2124mil","T","0.00","TP"
"TP63","TP","1883mil","2804mil","1883mil","2804mil","1883mil","2804mil","T","0.00","TP"
"TP64","TP","4395mil","2175mil","4394.999mil","2175mil","4395mil","2175mil","T","0.00","TP"
"TP65","TP","4283.088mil","2176.898mil","4283.087mil","2176.898mil","4283.088mil","2176.898mil","T","0.00","TP"
"TP74","TP","519.402mil","575.458mil","519.402mil","575.457mil","519.402mil","575.458mil","T","0.00","TP"
"TP75","TP","1588.206mil","575.52mil","1588.205mil","575.52mil","1588.206mil","575.52mil","T","0.00","TP"
"TP76","TP","639.386mil","575.52mil","639.386mil","575.52mil","639.386mil","575.52mil","T","0.00","TP"
"TP77","TP","1710.252mil","575.52mil","1710.252mil","575.52mil","1710.252mil","575.52mil","T","0.00","TP"
"TP78","TP","1056.708mil","575.52mil","1056.709mil","575.52mil","1056.708mil","575.52mil","T","0.00","TP"
"TP79","TP","2135.448mil","575.52mil","2135.449mil","575.52mil","2135.448mil","575.52mil","T","0.00","TP"
"TP80","TP","1182.692mil","575.52mil","1182.693mil","575.52mil","1182.692mil","575.52mil","T","0.00","TP"
"TP81","TP","2265.37mil","575.52mil","2265.37mil","575.52mil","2265.37mil","575.52mil","T","0.00","TP"
"U1","SOT223-6L","2326.394mil","1499.733mil","2326.394mil","1499.732mil","2226.394mil","1383.592mil","T","90.00","TPS79501"
"U3","TSOP65P640-8AL","3790.961mil","2523.985mil","3790.96mil","2523.984mil","3752.576mil","2634.222mil","B","270.00","TPS2111"
"U4","SOT23-5AL_MOD(1-07)","2962.692mil","2579.716mil","2962.693mil","2579.717mil","3009.936mil","2542.314mil","T","180.00","NCP1521B"
"U6","SOT23-5AL_MOD(1-07)","2891.826mil","2756.882mil","2891.827mil","2756.882mil","2939.07mil","2719.48mil","T","180.00","NCP303LSN30T1G"
"U7","SOT363-6L","103.544mil","920.056mil","103.543mil","920.055mil","66.142mil","894.466mil","B","360.00","NC7SZ157P6X"
